"","LogFC","logCPM","LR","PValue","padj","stat"
"ACOT7",1.04882969452501,5.36532056471001,150.765086255577,1.17959474339239e-34,6.10659558089061e-34,"11332"
"ACSL1",-2.41109373205565,7.37051119765241,745.036416837985,4.8157952280736e-164,3.36856962925205e-162,"2180"
"ACSL4",-1.04908507484033,5.53742790804831,191.511337760469,1.48746020783217e-43,1.01241067320655e-42,"2182"
"ACSL6",2.58014386044727,0.533781922708769,116.273253764302,4.14119684002044e-27,1.6202650136414e-26,"23305"
"ACSM1",-1.59120391910483,3.49727921666775,49.9315519080214,1.59203894501719e-12,3.3726415813751e-12,"116285"
"ACSM3",-1.72913554838926,1.77636884509213,202.95649784316,4.72803780592385e-46,3.44801934755063e-45,"6296"
"ACSM5",-4.00354898212038,1.48522467142185,1600.34970971197,0,0,"54988"
"ACSS2",-1.67993956407731,5.68595933109734,956.913849755578,4.16724149642553e-210,5.00707508510032e-208,"55902"
"ACSS3",-1.07612039579649,4.14076702554907,80.0359383841758,3.67661357245003e-19,1.03726312470996e-18,"79611"
"ACTA1",-4.22535868419642,4.15511127329516,438.659472663983,2.11932533523482e-97,4.60960995177571e-96,"58"
"ACTA2",-1.64766649068462,8.8879897014105,351.090021544972,2.45342627517439e-78,3.86810561627758e-77,"59"
"ACTG2",-1.86357845519642,6.44172977184615,105.603128073509,9.00853875478507e-25,3.18808120920529e-24,"72"
"ACTL6A",1.05435540723598,6.10746597959479,301.536888437333,1.52383501285237e-67,1.96398078343317e-66,"86"
"ACTL8",8.94036571218031,2.2208600385034,153.682766098553,2.71679882567504e-35,1.43385000721688e-34,"81569"
"ACTN2",-3.22732142948876,2.29513545585244,174.64379499154,7.16132092219755e-40,4.35851799100577e-39,"88"
"ACVR1C",-4.96889303119695,3.14650052471351,1964.01539339204,0,0,"130399"
"ACVRL1",-1.25829793265252,4.87666353148578,444.717732065146,1.01788376116918e-98,2.26688343163821e-97,"94"
"ACY3",1.58578668407068,1.0620939659965,26.9093604770151,2.13223699107761e-07,3.51262703782234e-07,"91703"
"ACYP1",1.13954943482858,2.20737974958515,123.249578329453,1.22966419286032e-28,5.09476273899498e-28,"97"
"ADAM12",1.36923624524408,6.87237828335064,99.8788747794706,1.62008110175043e-23,5.44866553837014e-23,"8038"
"ADAM19",1.83961309027436,4.5455665630389,242.870407928995,9.30772705792039e-55,8.79364777653493e-54,"8728"
"ADAM33",-3.31966492777365,3.36095302672054,932.876698192265,6.99781530943114e-205,7.89851896175867e-203,"80332"
"ADAM8",2.20880777142032,4.85260626168735,282.008322774929,2.74127935888562e-63,3.18831546979211e-62,"101"
"ADAMDEC1",3.32400674561927,3.21445666115632,162.579356637909,3.09112976230927e-37,1.73333618098027e-36,"27299"
"ADAMTS14",3.40931903734306,2.80462686509889,427.641646597821,5.29891194640568e-95,1.11195055055631e-93,"140766"
"ADAMTS17",1.1689534280951,1.93492960302781,63.8675577450458,1.33071074810484e-15,3.23482777549585e-15,"170691"
"ADAMTS18",-1.47065622727902,1.665178950723,69.9411793990917,6.10995118634119e-17,1.5746784764798e-16,"170692"
"ADAMTS19",3.29483727221161,0.981276891141175,83.4348901186754,6.58494710577783e-20,1.91919262380641e-19,"171019"
"ADAMTS1",-2.13957296015332,6.24422348246141,446.934212100222,3.35213016498227e-99,7.52159447711911e-98,"9510"
"ADAMTS5",-2.95383674715276,4.58254598758938,1307.60542364249,2.51454962268526e-286,7.20466823622841e-284,"11096"
"ADAMTS6",1.65804881312459,1.74362212387273,217.786771998244,2.74888087025717e-49,2.21261891334206e-48,"11174"
"ADAMTS8",-1.21326123586902,1.28512943694067,53.3935491543023,2.72991822594328e-13,5.98573239857674e-13,"11095"
"ADAMTS9",-1.17108290241944,4.44461148222302,151.617171603522,7.68239652335019e-35,3.99930208949666e-34,"56999"
"ADAMTSL2",1.57268394635067,3.60948031086439,197.700732172449,6.63128631810388e-45,4.69133593795963e-44,"9719"
"ADAMTSL4",-2.30903201858026,4.54542074570395,603.083009780535,3.57456100402847e-133,1.53479493945303e-131,"54507"
"ADAT3",1.11559791432586,1.59657361068494,135.614708994921,2.42259798729317e-31,1.11470930860658e-30,"113179"
"ADCK5",1.15420252170579,3.57032911975262,207.354479723749,5.18872192093625e-47,3.91030692463476e-46,"203054"
"ADCY4",-1.92862956412137,3.47013033041792,645.329450920973,2.31669655472627e-142,1.21536837918545e-140,"196883"
"ADCY5",-1.33610235774879,3.46158121183345,57.0822810175061,4.17954385949297e-14,9.4867495372617e-14,"111"
"ADCYAP1",1.24961989906948,1.3502224456449,18.4360570743872,1.75701676167147e-05,2.6099494249395e-05,"116"
"ADD3",-1.29640347209962,6.23044473355098,261.860855013871,6.74372172568843e-59,7.09066407840734e-58,"120"
"ADH1A",-5.17934370261318,0.716790801047727,649.906882608434,2.34078954811718e-143,1.25451163587762e-141,"124"
"ADH1B",-4.70799329671286,7.51542082182752,639.904930613337,3.504419792828e-141,1.77593028888926e-139,"125"
"ADH1C",-3.25118058386734,1.50044262900779,310.612468589927,1.60621231226506e-69,2.1578861352964e-68,"126"
"ADHFE1",-1.89790499750472,2.58156989631275,384.763368403057,1.14266215743014e-85,2.02431908246749e-84,"137872"
"ADIPOQ",-4.8452465873264,7.46917636128155,637.948076105698,9.33694237246038e-141,4.68387556926893e-139,"9370"
"ADM2",2.02437116169096,4.38277378120141,232.495531479754,1.70263385763236e-52,1.52083584201826e-51,"79924"
"ADM",-1.54637104012536,3.83432621015117,148.63135537255,3.45240500405157e-34,1.75314867605195e-33,"133"
"ADORA2A",2.58113970351327,4.29526962695846,221.673975965641,3.90169120135671e-50,3.23670919872013e-49,"135"
"ADRA2A",-1.61422202800846,5.01589164224402,202.391363408277,6.28055442165642e-46,4.56013549357987e-45,"150"
"ADRA2B",-1.08737925852009,0.495802428153021,81.7373475942447,1.55428430314671e-19,4.45418000242025e-19,"151"
"ADRB1",-1.36834226029838,0.752046762408149,39.2052716785406,3.81508760997656e-10,7.20783544268841e-10,"153"
"ADRB2",-2.70831265282012,2.06043643181554,903.257047399258,1.92211418345026e-198,1.94813464076363e-196,"154"
"ADRBK2",-1.53552630600218,5.29057133361965,620.600091229107,5.53655474383141e-137,2.65238357325865e-135,NA
"AFAP1L1",-1.55660984467269,3.77883162734981,549.784774456956,1.40220154552206e-121,4.61178826197201e-120,"134265"
"AG2",-1.65084601204936,4.21973938030525,315.313648570829,1.5195439546716e-70,2.08468557832893e-69,NA
"AGAP11",-2.07825723131831,1.52470073224889,434.217191014637,1.96348265098294e-96,4.17913257385641e-95,"119385"
"AGBL2",1.72789348986765,0.330391103992587,112.209419326677,3.21493250685934e-26,1.21141323772628e-25,"79841"
"AGMAT",1.71108572111903,1.13683761248107,165.564792397394,6.88546962770023e-38,3.93202805607918e-37,"79814"
"AGPAT2",-2.01365555281274,6.47628653368395,980.721026004023,2.78522746865014e-215,3.4580920046182e-213,"10555"
"AGPAT9",-1.61808237442425,2.58351717315036,224.663230066344,8.69483754490936e-51,7.35629668265784e-50,NA
"AGR2",2.48926976199332,9.09940120076147,93.2302014883223,4.65523047671521e-22,1.47413982725993e-21,"10551"
"AGR3",2.50635832153389,6.85461657027968,72.0048422463797,2.14669947337709e-17,5.64285029178639e-17,"155465"
"AGT",1.55560684473265,4.34383163899293,48.0504917838432,4.15383424950574e-12,8.6312473614745e-12,"183"
"AHNAK",-1.82439992587166,11.2869845288997,548.029239392208,3.37840739105111e-121,1.10869805549054e-119,"79026"
"AIFM2",-1.72185615614619,4.62506937821219,636.015609012688,2.45748741455449e-140,1.2164154481544e-138,"84883"
"AIFM3",1.70780647303135,1.05098902354594,143.648859373531,4.23997288705649e-33,2.07527450868117e-32,"150209"
"AIM1L",4.5922381524953,1.10599810629657,358.67386862662,5.47452837571695e-80,8.86576068150074e-79,NA
"AIM2",2.99793362704927,1.16422470353381,155.479609335171,1.09998165769594e-35,5.88671936710192e-35,"9447"
"AK5",-2.36207675311869,4.18576659822784,240.766996709219,2.67588285721159e-54,2.50269797172602e-53,"26289"
"AKAP12",-2.50040065473811,5.85747492930305,770.270761561163,1.56994954064457e-169,1.16953391030317e-167,"9590"
"AKAP2",-1.60769878640987,5.28644384032991,320.059627459934,1.40576618563278e-71,1.96477583487269e-70,"11217"
"AKAP5",1.7930519951975,3.47804096500063,157.783592145286,3.45085949750426e-36,1.87301842088583e-35,"9495"
"AKAP6",-1.85975572345261,2.13142054858972,386.149096999148,5.70471627515098e-86,1.01668143281668e-84,"9472"
"AKR1C1",-3.14709466230545,4.86767924365726,428.066316957171,4.28307984297678e-95,9.00050868554458e-94,"1645"
"AKR1C2",-2.89443688176706,4.88759859420548,269.954735770085,1.16084543348463e-60,1.27735864944516e-59,"1646"
"AKR1C3",-2.15832864856336,4.87744434744169,361.742089769033,1.1755779532877e-80,1.93535203602579e-79,"8644"
"AKR7A3",2.67122387577282,5.21182916037415,112.819894480123,2.3629294021798e-26,8.96264897227009e-26,"22977"
"ALDH18A1",1.01689411638276,7.15646616088345,330.406768947776,7.83777336137023e-74,1.14822994406151e-72,"5832"
"ALDH1A1",-2.32156844776162,5.18182403580703,568.358927394908,1.27730607175767e-125,4.54190528952686e-124,"216"
"ALDH1A2",-2.90468037598024,2.15758013966571,590.524347170895,1.92688636473435e-130,7.84390162518501e-129,"8854"
"ALDH1A3",-1.76595006412739,5.4542705488726,239.395010487657,5.32869571831645e-54,4.9404005916115e-53,"220"
"ALDH1L1",-4.87070172314693,2.95342939456867,1003.20163048432,3.61699521357885e-220,4.72715891992205e-218,"10840"
"ALDH2",-2.08264432928351,7.19784722952255,594.72540046533,2.35003745251635e-131,9.75298273120923e-130,"217"
"ALDH4A1",-1.07116908254441,5.64793448627714,161.677434991767,4.86587072681223e-37,2.71218136770578e-36,"8659"
"ALDOC",-2.00636532389965,4.49973615041849,306.509758202157,1.25766235828239e-68,1.66263633327856e-67,"230"
"ALG11",1.58523796444154,0.369511394368202,222.164120628676,3.05030983878273e-50,2.541754266668e-49,"440138"
"ALG1L",3.18440215082899,1.12029554944763,131.171227065629,2.27143688692674e-30,1.00302721334682e-29,"200810"
"ALG8",1.06035398211986,6.12595527894549,92.5093400885216,6.70077885720739e-22,2.10800051084318e-21,"79053"
"ALOX15B",-1.66746566677154,5.83787925401029,56.9830127738951,4.39592674354786e-14,9.9687842545083e-14,"247"
"ALOXE3",1.7120153473416,0.318385837132844,56.9855466011104,4.39026656085343e-14,9.95898012943899e-14,"59344"
"ALPK3",-2.31089777039121,3.5436832512732,836.088190043574,7.69223360235128e-184,6.82182074056141e-182,"57538"
"ALPL",-1.5367759241416,4.79879453908355,166.129401933677,5.18321907318996e-38,2.97018388351759e-37,"249"
"ALS2CL",-1.15070296747842,3.32414230768899,193.789800831337,4.73305084136292e-44,3.28294806729358e-43,"259173"
"AMBP",1.55415035386798,0.909327538600599,28.0237212341196,1.19837428976113e-07,1.99939289396989e-07,"259"
"AMDHD1",1.344881698687,0.616011952663939,40.641936061239,1.82840233910808e-10,3.51410815923261e-10,"144193"
"AMH",2.99279465468475,0.342376340084472,136.283512167023,1.72981434838076e-31,8.00636967273221e-31,"268"
"AMMECR1",1.26769841236301,4.50068246651861,219.089464394785,1.4288822975094e-49,1.16396486334568e-48,"9949"
"AMOTL1",-1.43733433607472,6.0101578670065,293.880143275653,7.09785671614552e-66,8.77601387666823e-65,"154810"
"AMOTL2",-1.60489211934377,6.35489366335648,604.513820173042,1.74587563632127e-133,7.65052973692664e-132,"51421"
"AMT",-1.10447146922965,2.13704152750674,129.24394024507,5.99752834131171e-30,2.60668537798142e-29,"275"
"AMY1A",1.98552340406355,1.37545541124656,28.4592373963105,9.56921079116616e-08,1.60463333233072e-07,"276"
"AMZ1",3.21344935542801,1.81534138919992,183.943676209562,6.67430566834067e-42,4.34427610976879e-41,"155185"
"ANGPT1",-2.52064429360046,2.87044067642986,512.162101618666,2.14686725715971e-113,6.0237618200419e-112,"284"
"ANGPTL1",-3.08093215019089,2.45524726317221,831.614865311975,7.22079030551908e-183,6.29137747145782e-181,"9068"
"ANGPTL2",-1.78246334646457,6.49426375405964,447.270053691852,2.83290108146888e-99,6.37573915601282e-98,"23452"
"ANGPTL4",-2.32313460497088,5.06531672275218,341.683855801908,2.74258055910262e-76,4.22999045031780e-75,"51129"
"ANGPTL7",-4.36337566175618,0.460050251785144,321.814226278504,5.83078347047513e-72,8.2578748029096e-71,"10218"
"ANK2",-2.17888144882574,4.20184628689767,580.53027037471,2.87565128756136e-128,1.10139662039529e-126,"287"
"ANKDD1A",-1.38983165316381,1.94958800847228,463.731060663124,7.41233562498462e-103,1.77836374358528e-101,"348094"
"ANKRD19",1.03553060930167,1.77389179453731,87.9366605708085,6.75843662893534e-21,2.04454715400016e-20,NA
"ANKRD1",-1.00816103520539,0.370902302396826,12.6468728973978,0.000376194402495435,0.000515812030388556,"27063"
"ANKRD22",2.62164826551713,3.5319153718697,256.873991281825,8.23999544678316e-58,8.45507521774259e-57,"118932"
